Year/species/area;Species;Area;Year;PCB7 l.w.;SDDT l.w.;SHCH l.w.;HCB l.w.;TNC l.w.;SPBDE l.w.;Log PCB7 LW;Log DDT LW;Log HCH LW;Log TNC LW;Log HCB LW;Log PBDE LW;Hel lengde, cm;Log(Length);Hel vekt, g;Lever vekt, g;LSI %;Log LSI;Fettinnhold, %;Log fett;Alder, y;PCB7, µg/kg ww;Log PCB7 ww;DDT ww1;Log DDT ww;HCH ww;Log HCH ww;TNC ww;Log TNC ww;HCB ww;Log HCB ww;PBDE ww;Log PBDE ww;DDT ww10;Var18;Var19
C T 2005;Cod;Tampen;2005;199,2959574;103,1170458;5,193032133;12,54553926;16,58644388;;2,299498489;2,013330462;0,71542101;1,219753284;1,098489334;;85;1,93;6560;735,00;11,20426829;1,05;66,6;1,82;8;133;2,12;68,65;1,84;3,46;0,54;11,04;1,04;8,35;0,92;;;68,65;;
C T 2005;Cod;Tampen;2005;496,3732108;316,7253729;3,828031491;20,00299546;54,91342968;;2,695808335;2,500682856;0,582975502;1,739678569;1,301095036;;100;2,00;10004;780,00;7,768924303;0,89;70,7;1,85;8;351;2,55;223,86;2,35;2,71;0,43;38,81;1,59;14,14;1,15;;;223,86;;
C T 2005;Cod;Tampen;2005;402,2674456;206,960196;5,049592482;16,16184075;39,92476945;;2,604514888;2,315886827;0,703256331;1,601242417;1,208490823;;86;1,93;6000;327,00;5,45;0,74;59,6;1,78;7;240;2,38;123,41;2,09;3,01;0,48;23,81;1,38;9,64;0,98;;;123,41;;
C T 2005;Cod;Tampen;2005;240,4060006;180,3412608;4,4239872;17,65538969;32,6988138;;2,380945304;2,256095102;0,645813862;1,514531998;1,246877308;;78;1,89;4900;317,00;6,469387755;0,81;65,2;1,81;4;157;2,20;117,55;2,07;2,88;0,46;21,31;1,33;11,51;1,06;;;117,55;;
C T 2005;Cod;Tampen;2005;254,4900773;113,9027706;5,505098174;16,30388948;30,763731;;2,405670854;2,056534288;0,740765068;1,488039005;1,212291223;;58;1,76;2140;38,00;1,775700935;0,25;42,9;1,63;3;109;2,04;48,82;1,69;2,36;0,37;13,19;1,12;6,99;0,84;;;48,82;;
C T 2005;Cod;Tampen;2005;204,0896055;148,870586;4,589006026;13,93713061;20,90533289;;2,309820886;2,172808898;0,661718628;1,320257088;1,14417337;;77;1,89;4160;368,00;8,846153846;0,95;73,2;1,86;4;149;2,17;109,00;2,04;3,36;0,53;15,31;1,18;10,20;1,01;;;109,00;;
C T 2005;Cod;Tampen;2005;343,4275043;142,6136709;9,439761314;16,09735415;34,16416686;;2,535835074;2,154161159;0,974961013;1,533570834;1,206754499;;88;1,94;7340;455,00;6,198910082;0,79;57,2;1,76;5;196;2,29;81,55;1,91;5,40;0,73;19,54;1,29;9,20;0,96;;;81,55;;
C T 2005;Cod;Tampen;2005;282,5780709;188,6143943;5,623061676;12,99233346;30,42572738;;2,451138456;2,275574833;0,749972847;1,48324097;1,113687159;;96;1,98;9640;730,00;7,572614108;0,88;65,2;1,81;8;184;2,27;122,88;2,09;3,66;0,56;19,82;1,30;8,46;0,93;;;122,88;;
C T 2005;Cod;Tampen;2005;255,4659604;131,7987912;4,299589107;12,97488882;26,12104838;;2,407333041;2,119911427;0,633426954;1,416990604;1,113103645;;98;1,99;8280;630,00;7,608695652;0,88;70,8;1,85;8;181;2,26;93,25;1,97;3,04;0,48;18,48;1,27;9,18;0,96;;;93,25;;
C T 2005;Cod;Tampen;2005;190,9106215;82,71054773;4,824717294;12,1332604;11,7886066;;2,280830092;1,917560897;0,683471871;1,071462475;1,083977518;;76;1,88;5480;650,00;11,86131387;1,07;69,6;1,84;3;133;2,12;57,59;1,76;3,36;0,53;8,21;0,91;8,45;0,93;;;57,59;;
C T 2005;Cod;Tampen;2005;297,2082899;151,6132412;6,023454098;19,70023384;37,29330715;;2,473060919;2,180737132;0,779845605;1,571630898;1,294471381;;90;1,95;9060;740,00;8,167770419;0,91;71,7;1,86;5;213;2,33;108,63;2,04;4,32;0,64;26,72;1,43;14,12;1,15;;;108,63;;
C T 2005;Cod;Tampen;2005;456,7157917;345,9099899;5,317534745;30,3747608;61,17634085;;2,659646028;2,538963105;0,725710336;1,786583497;1,482512867;;80;1,90;5760;275,00;4,774305556;0,68;56,6;1,75;6;259;2,41;195,89;2,29;3,01;0,48;34,64;1,54;17,20;1,24;;;195,89;;
C T 2005;Cod;Tampen;2005;233,6345687;128,1151994;4,37018119;13,5238781;27,1624865;;2,368537102;2,107600657;0,640499443;1,433969523;1,131101247;;83;1,92;7260;314,00;4,325068871;0,64;64,5;1,81;5;151;2,18;82,66;1,92;2,82;0,45;17,53;1,24;8,73;0,94;;;82,66;;
C T 2005;Cod;Tampen;2005;234,3200593;72,7059482;4,904699066;14,25028653;20,48938704;;2,369809469;1,861569943;0,690612366;1,311528966;1,153823597;;59;1,77;2400;60,00;2,5;0,40;51,3;1,71;2;120;2,08;37,29;1,57;2,52;0,40;10,51;1,02;7,31;0,86;;;37,29;;
C T 2005;Cod;Tampen;2005;157,718291;104,8888654;4,833063522;14,90716445;17,47451154;;2,197882062;2,020729388;0,684222503;1,242405045;1,173395042;;78;1,89;4880;390,00;7,991803279;0,90;77,5;1,89;3;122;2,09;81,28;1,91;3,75;0,57;13,54;1,13;11,55;1,06;;;81,28;;
C T 2005;Cod;Tampen;2005;142,9896185;55,10506966;4,588198585;12,44933551;14,43786478;;2,155304507;1,741191556;0,661642207;1,15950297;1,095146171;;57;1,76;2000;74,00;3,7;0,57;65,5;1,82;2;94;1,97;36,08;1,56;3,00;0,48;9,45;0,98;8,15;0,91;;;36,08;;
H Eb 2019;Haddock;Egersund Bank;2019;430,0834501;106,0814391;0,953157916;15,20984309;12,48985587;42,599572;2,633552731;2,025639403;-0,020835141;1,096557427;1,182124734;1,629405236;48;1,68;1015;40,00;3,9408867;0,60;51,6;1,71;5;222;2,35;54,76;1,74;0,49;-0,31;6,45;0,81;7,85;0,89;21,99;1,34;54,76;;
H Eb 2019;Haddock;Egersund Bank;2019;113,7431337;6,901702012;1,147070586;18,18540645;4,559364597;8,922088522;2,055925189;0,838956204;0,059590143;0,658904323;1,259723012;0,950466528;45;1,65;870;25,00;2,873563218;0,46;51,9;1,71;3;59;1,77;3,58;0,55;0,60;-0,23;2,37;0,37;9,43;0,97;4,63;0,67;3,58;;
H Eb 2019;Haddock;Egersund Bank;2019;223,0768021;32,2738429;1,51816157;24,92470159;8,249710627;17,49913581;2,34845441;1,508850681;0,181317994;0,916438715;1,396629967;1,243016602;46;1,66;817;33,00;4,039167687;0,61;48,4;1,68;4;108;2,03;15,63;1,19;0,74;-0,13;3,99;0,60;12,07;1,08;8,47;0,93;15,63;;
H Eb 2019;Haddock;Egersund Bank;2019;133,3740029;17,62244026;1,009374454;9,632803986;5,23679685;22,34067898;2,125071186;1,246066047;0,004052309;0,719065727;0,983752723;1,349096368;45;1,65;935;35,00;3,743315508;0,57;46,9;1,67;4;63;1,80;8,26;0,92;0,47;-0,33;2,45;0,39;4,51;0,65;10,47;1,02;8,26;;
H Eb 2019;Haddock;Egersund Bank;2019;130,2237769;11,13133338;1,000609881;19,51369883;3,885039446;25,09652399;2,114690287;1,04654719;0,000264787;0,589395433;1,290339598;1,399613573;41;1,61;645;31,00;4,80620155;0,68;55,4;1,74;4;72;1,86;6,16;0,79;0,55;-0,26;2,15;0,33;10,80;1,03;13,90;1,14;6,16;;
H Eb 2019;Haddock;Egersund Bank;2019;136,1490871;13,68069084;0,95284427;15,85748152;4,54694096;9,899214734;2,134014734;1,136108029;-0,020978074;0,657719315;1,200234214;0,995600745;40;1,60;660;20,00;3,03030303;0,48;50,2;1,70;4;68;1,83;6,86;0,84;0,48;-0,32;2,28;0,36;7,96;0,90;4,97;0,70;6,86;;
H Eb 2019;Haddock;Egersund Bank;2019;93,17898998;29,68174372;1,060546322;11,16114884;3,859304349;10,22088812;1,969317999;1,472489411;0,025529642;0,586509029;1,0477089;1,009488634;39;1,59;520;26,00;5;0,70;59,0;1,77;3;55;1,74;17,52;1,24;0,63;-0,20;2,28;0,36;6,59;0,82;6,03;0,78;17,52;;
